date,code,name,open,close,high,low,volume,turnover,log_return,is_extreme,idx_close,idx_log_return,cpi_yoy,industry
2024-08-14,600048,保利发展,212.55,211.26,213.59,210.22,50998610.0,415924235.0,-0.008531147822258866,False,3309.239,-0.007571500501848913,,房地产
2024-08-15,600048,保利发展,210.22,212.55,215.4,209.18,109362816.0,897471887.0,0.006087652409783012,False,3341.953,0.00983711304903924,,房地产
2024-08-16,600048,保利发展,211.77,211.77,213.33,208.93,78135610.0,636554936.0,-0.003676474729308637,False,3345.634,0.0011008456029771622,,房地产
2024-08-19,600048,保利发展,210.74,211.77,215.14,209.18,81333000.0,667042042.0,0.0,False,3356.968,0.0033819733897214356,,房地产
2024-08-20,600048,保利发展,211.77,208.15,213.33,207.11,79206663.0,638913687.0,-0.017241806434506103,False,3332.703,-0.007254499187663975,,房地产
2024-08-21,600048,保利发展,206.6,203.75,207.37,201.68,113839398.0,896617550.0,-0.021365221520012374,False,3321.635,-0.0033265548598547766,,房地产
2024-08-22,600048,保利发展,204.01,206.08,208.67,203.23,123616189.0,985429545.0,0.011370690795016822,False,3313.136,-0.0025619587017223127,,房地产
2024-08-23,600048,保利发展,204.52,204.78,209.18,203.23,94657088.0,754348741.0,-0.006328210769318158,False,3327.191,0.004233231583048738,,房地产
2024-08-26,600048,保利发展,204.78,207.63,211.77,202.19,117185902.0,943901354.0,0.013821417375210898,False,3324.223,-0.0008924418768667877,,房地产
2024-08-27,600048,保利发展,207.11,201.94,207.37,201.16,86970603.0,681645295.0,-0.027787025945706725,False,3305.334,-0.005698435389835989,,房地产
2024-08-28,600048,保利发展,201.68,199.61,202.45,199.09,64101509.0,495726650.0,-0.011605160753383676,False,3286.496,-0.005715575578550957,,房地产
2024-08-29,600048,保利发展,199.35,199.61,201.42,197.53,60312484.0,466245375.0,0.0,False,3277.681,-0.002685791470552564,,房地产
2024-08-30,600048,保利发展,200.12,210.22,219.54,199.35,295664365.0,2419334698.0,0.05178913857241701,False,3321.432,0.013259855085641672,,房地产
2024-09-02,600048,保利发展,207.37,203.23,208.15,202.71,129416403.0,1022442168.0,-0.033816258792992646,False,3265.011,-0.01713288344701472,,房地产
2024-09-03,600048,保利发展,202.71,204.27,207.63,199.86,122521167.0,965745415.0,0.0051043055607694655,False,3273.428,0.0025746220617688317,,房地产
2024-09-04,600048,保利发展,202.45,199.35,206.85,198.83,139823949.0,1088970520.0,-0.02438057433562105,False,3252.165,-0.00651682544452291,,房地产
